geoid,Tract Number,Neighborhood,Location,Latitude,Longitude,Census_Tract
06037238400,238400,Gramercy Park,"(33.956361, -118.309005)",33.956361,-118.309005,Census Tract 2384
06037239201,239201,Florence,"(33.9857845, -118.277227)",33.9857845,-118.277227,Census Tract 2392.01
06037239202,239202,Florence,"(33.985588, -118.265182)",33.985588,-118.265182,Census Tract 2392.02
06037239310,239310,Florence,"(33.9785445, -118.27732)",33.9785445,-118.27732,Census Tract 2393.10
06037239320,239320,Florence,"(33.978568, -118.2717375)",33.978568,-118.2717375,Census Tract 2393.20
06037239330,239330,Florence,"(33.9785785, -118.262973)",33.9785785,-118.262973,Census Tract 2393.30
06037239501,239501,Florence,"(33.9729715, -118.2629705)",33.9729715,-118.2629705,Census Tract 2395.01
06037239502,239502,Florence,"(33.9693555, -118.262964)",33.9693555,-118.262964,Census Tract 2395.02
06037239601,239601,Florence,"(33.972754, -118.2751255)",33.972754,-118.2751255,Census Tract 2396.01
06037239602,239602,Florence,"(33.9695945, -118.2751195)",33.9695945,-118.2751195,Census Tract 2396.02
06037239701,239701,Florence,"(33.9660325, -118.2751155)",33.9660325,-118.2751155,Census Tract 2397.01
06037239702,239702,Florence,"(33.96229, -118.275105)",33.96229,-118.275105,Census Tract 2397.02
06037239801,239801,Florence,"(33.96606, -118.2629565)",33.96606,-118.2629565,Census Tract 2398.01
06037239802,239802,Florence,"(33.962406, -118.2629525)",33.962406,-118.2629525,Census Tract 2398.02
06037240010,240010,Green Meadows,"(33.9583205, -118.263794)",33.9583205,-118.263794,Census Tract 2400.10
06037240020,240020,Green Meadows,"(33.954224, -118.263804)",33.954224,-118.263804,Census Tract 2400.20
06037240200,240200,Broadway-Manchester,"(33.9559485, -118.2761875)",33.9559485,-118.2761875,Census Tract 2402
06037240300,240300,Vermont Vista,"(33.9564355, -118.2859575)",33.9564355,-118.2859575,Census Tract 2403
06037240401,240401,Vermont Vista,"(33.949905, -118.2854905)",33.949905,-118.2854905,Census Tract 2404.01
